
============================================================
GENERATING ANALYSIS REPORT
============================================================

--- Summary for Metapath Length 2 ---
| Dataset      |   Length | Method     |   K |       Edges_Mean |   Prep_Mean |   Infer_Mean |   Total_Mean |
| HGB_DBLP     |        3 | KMV (K=4)  |   4 |  10477           |  0.00699957 |   0.00110187 |   0.00810144 |
| HGB_DBLP     |        3 | KMV (K=8)  |   8 |  10992.3         |  0.00670425 |   0.0011644  |   0.00786865 |
| HGB_DBLP     |        3 | KMV (K=16) |  16 |  11101           |  0.00632167 |   0.00104927 |   0.00737094 |
| HGB_DBLP     |        3 | KMV (K=32) |  32 |  11113           |  0.00633574 |   0.00105223 |   0.00738797 |
| HGB_ACM      |        3 | Exact      |   0 |      6.67932e+06 |  0.241672   |   0.0457452  |   0.287417   |
| HGB_ACM      |        3 | KMV (K=2)  |   2 |  15119           |  0.00899998 |   0.00148707 |   0.0104871  |
| HGB_ACM      |        3 | KMV (K=4)  |   4 |  27205           |  0.0138272  |   0.0011097  |   0.0149369  |
| HGB_ACM      |        3 | KMV (K=8)  |   8 |  51353           |  0.0218669  |   0.00115753 |   0.0230244  |
| HGB_ACM      |        3 | KMV (K=16) |  16 |  99553           |  0.0334102  |   0.00144423 |   0.0348544  |
| HGB_ACM      |        3 | KMV (K=32) |  32 | 195569           |  0.0598177  |   0.00214953 |   0.0619672  |
| HGB_IMDB     |        3 | Exact      |   0 |  26214           |  0.00669557 |   0.00469523 |   0.0113908  |
| HGB_IMDB     |        3 | KMV (K=2)  |   2 |  13304           |  0.0163337  |   0.00458873 |   0.0209224  |
| HGB_IMDB     |        3 | KMV (K=4)  |   4 |  17080           |  0.0185025  |   0.00832977 |   0.0268322  |
| HGB_IMDB     |        3 | KMV (K=8)  |   8 |  19928           |  0.0177846  |   0.0080058  |   0.0257904  |
| HGB_IMDB     |        3 | KMV (K=16) |  16 |  21138           |  0.0170875  |   0.0092546  |   0.0263421  |
| HGB_IMDB     |        3 | KMV (K=32) |  32 |  21282           |  0.0254798  |   0.0155287  |   0.0410085  |
| HGB_Freebase |        3 | Exact      |   0 |      5.30274e+06 |  0.33721    |   0.0707971  |   0.408007   |
| HGB_Freebase |        3 | KMV (K=2)  |   2 |  43930           |  0.00800133 |   0.0021442  |   0.0101455  |
| HGB_Freebase |        3 | KMV (K=4)  |   4 |  47501.3         |  0.00903567 |   0.0024745  |   0.0115102  |
| HGB_Freebase |        3 | KMV (K=8)  |   8 |  53867.3         |  0.0116688  |   0.0019963  |   0.0136651  |
| HGB_Freebase |        3 | KMV (K=16) |  16 |  65140.7         |  0.0100001  |   0.00164533 |   0.0116455  |
| HGB_Freebase |        3 | KMV (K=32) |  32 |  84800           |  0.0123208  |   0.00145137 |   0.0137722  |
| OGB_MAG      |        3 | Exact      |   0 |     -1           | -1          |  -1          |  -1          |
| OGB_MAG      |        3 | KMV (K=2)  |   2 |     -1           | -1          |  -1          |  -1          |
| OGB_MAG      |        3 | KMV (K=4)  |   4 |     -1           | -1          |  -1          |  -1          |
| OGB_MAG      |        3 | KMV (K=8)  |   8 |     -1           | -1          |  -1          |  -1          |
| OGB_MAG      |        3 | KMV (K=16) |  16 |     -1           | -1          |  -1          |  -1          |
| OGB_MAG      |        3 | KMV (K=32) |  32 |     -1           | -1          |  -1          |  -1          |
| PyG_IMDB     |        3 | Exact      |   0 |  21724           |  0.0142353  |   0.0109513  |   0.0251866  |
| PyG_IMDB     |        3 | KMV (K=2)  |   2 |  11452           |  0.0194407  |   0.0112578  |   0.0306984  |
| PyG_IMDB     |        3 | KMV (K=4)  |   4 |  14526           |  0.0185182  |   0.0116841  |   0.0302023  |
| PyG_IMDB     |        3 | KMV (K=8)  |   8 |  16652           |  0.0142198  |   0.0130083  |   0.0272281  |
| PyG_IMDB     |        3 | KMV (K=16) |  16 |  17384           |  0.0310963  |   0.011023   |   0.0421193  |
| PyG_IMDB     |        3 | KMV (K=32) |  32 |  17446           |  0.0181502  |   0.0117054  |   0.0298556  |
| PyG_DBLP     |        3 | Exact      |   0 |  15170           |  0.00935373 |   0.00593047 |   0.0152842  |
| PyG_DBLP     |        3 | KMV (K=2)  |   2 |   9214.33        |  0.025084   |   0.00691603 |   0.0320001  |
| PyG_DBLP     |        3 | KMV (K=4)  |   4 |  10526.3         |  0.0200581  |   0.00477307 |   0.0248311  |
| PyG_DBLP     |        3 | KMV (K=8)  |   8 |  10989           |  0.0298977  |   0.0052505  |   0.0351482  |
| PyG_DBLP     |        3 | KMV (K=16) |  16 |  11103.7         |  0.0342704  |   0.00495753 |   0.0392279  |
| PyG_DBLP     |        3 | KMV (K=32) |  32 |  11113           |  0.0459689  |   0.0088493  |   0.0548182  |
| PyG_AMiner   |        3 | Exact      |   0 |      1.79503e+07 |  0.293015   |   2.78141    |   3.07442    |
| PyG_AMiner   |        3 | KMV (K=2)  |   2 |      6.36091e+06 |  0.260157   |   0.597575   |   0.857733   |
| PyG_AMiner   |        3 | KMV (K=4)  |   4 |      9.37055e+06 |  0.385529   |   1.51686    |   1.90239    |
| PyG_AMiner   |        3 | KMV (K=8)  |   8 |      1.22209e+07 |  0.452019   |   1.00549    |   1.45751    |
| PyG_AMiner   |        3 | KMV (K=16) |  16 |      1.42459e+07 |  3.21693    |   1.76477    |   4.9817     |
| PyG_AMiner   |        3 | KMV (K=32) |  32 |      1.54401e+07 | 19.7787     |   5.04141    |  24.8201     |
Plots saved: plot_time_length_3.png, plot_edges_length_3.png

--- Summary for Metapath Length 4 ---
