Dataset,L,Method,k,w_prime,Seed,Edge_Count,Mat_Time_s,Macro_F1,CKA,Pred_Agreement
HGB_IMDB,1,MPRW,,1,43,4470,0.0004,0.483064,0.952964,0.930743
HGB_IMDB,1,MPRW,,1,44,4526,0.0006,0.485589,0.952121,0.928716
HGB_IMDB,1,MPRW,,1,45,4486,0.0003,0.481113,0.952273,0.92973
HGB_IMDB,1,MPRW,,1,46,4458,0.0004,0.482098,0.951441,0.930743
HGB_IMDB,1,MPRW,,4,42,10680,0.0009,0.476335,0.991852,0.981757
HGB_IMDB,1,MPRW,,4,43,10562,0.0009,0.475335,0.990753,0.974662
HGB_IMDB,1,MPRW,,4,44,10592,0.0008,0.473705,0.990762,0.975
HGB_IMDB,1,MPRW,,4,45,10662,0.0011,0.472194,0.992327,0.975
HGB_IMDB,1,MPRW,,4,46,10664,0.0011,0.475401,0.99193,0.980405
HGB_IMDB,1,MPRW,,16,42,15532,0.0023,0.472211,0.999687,0.998986
HGB_IMDB,1,MPRW,,16,43,15446,0.0025,0.472786,0.999711,0.997973
HGB_IMDB,1,MPRW,,16,44,15572,0.0023,0.47216,0.99973,0.998311
HGB_IMDB,1,MPRW,,16,45,15496,0.0023,0.472609,0.999664,0.998311
HGB_IMDB,1,MPRW,,16,46,15510,0.0022,0.473438,0.999668,0.997973
HGB_IMDB,1,KGRW,4,1,42,9482,0.0024,0.472269,0.976768,0.971284
HGB_IMDB,1,KGRW,4,1,43,9674,0.0037,0.475617,0.971589,0.971959
HGB_IMDB,1,KGRW,4,1,44,9588,0.004,0.47806,0.980051,0.971622
HGB_IMDB,1,KGRW,4,1,45,9508,0.0023,0.479043,0.978976,0.973649
HGB_IMDB,1,KGRW,4,1,46,9588,0.0022,0.473714,0.979815,0.973311
HGB_IMDB,1,KGRW,4,4,42,12068,0.0033,0.4732,0.99462,0.986824
HGB_IMDB,1,KGRW,4,4,43,12036,0.0028,0.473767,0.994388,0.9875
HGB_IMDB,1,KGRW,4,4,44,12084,0.0034,0.476533,0.99388,0.988514
HGB_IMDB,1,KGRW,4,4,45,12092,0.003,0.476886,0.995218,0.990541
HGB_IMDB,1,KGRW,4,4,46,12116,0.0037,0.473669,0.99444,0.987838
HGB_IMDB,1,KGRW,4,16,42,12148,0.0047,0.472887,0.995186,0.988176
HGB_IMDB,1,KGRW,4,16,43,12148,0.0047,0.473367,0.994987,0.987838
HGB_IMDB,1,KGRW,4,16,44,12148,0.0051,0.476384,0.995227,0.988176
HGB_IMDB,1,KGRW,4,16,45,12148,0.0047,0.477201,0.995674,0.991216
HGB_IMDB,1,KGRW,4,16,46,12148,0.0047,0.473792,0.995058,0.987838
HGB_IMDB,1,KGRW,8,1,42,12702,0.0027,0.471494,0.991967,0.9875
HGB_IMDB,1,KGRW,8,1,43,12926,0.0055,0.473414,0.993169,0.987162
HGB_IMDB,1,KGRW,8,1,44,12850,0.0026,0.474955,0.991467,0.9875
HGB_IMDB,1,KGRW,8,1,45,12716,0.0026,0.47712,0.990641,0.986486
HGB_IMDB,1,KGRW,8,1,46,12822,0.0025,0.473501,0.991993,0.988176
HGB_IMDB,1,KGRW,8,4,42,14948,0.0034,0.472212,0.999544,0.998986
HGB_IMDB,1,KGRW,8,4,43,14964,0.0032,0.472022,0.99938,0.996959
HGB_IMDB,1,KGRW,8,4,44,14964,0.0033,0.473061,0.998997,0.998311
HGB_IMDB,1,KGRW,8,4,45,14948,0.0035,0.474528,0.999105,0.998311
HGB_IMDB,1,KGRW,8,4,46,14948,0.0032,0.473685,0.998877,0.997297
HGB_IMDB,1,KGRW,8,16,42,14996,0.0058,0.472303,0.999557,0.998986
HGB_IMDB,1,KGRW,8,16,43,14996,0.0058,0.472022,0.999505,0.996959
HGB_IMDB,1,KGRW,8,16,44,14996,0.0058,0.47291,0.999581,0.998311
HGB_IMDB,1,KGRW,8,16,45,14996,0.0058,0.474768,0.999211,0.998311
HGB_IMDB,1,KGRW,8,16,46,14996,0.0063,0.473656,0.999549,0.997635
HGB_IMDB,1,KGRW,16,1,42,14314,0.0027,0.47104,0.995366,0.991892
HGB_IMDB,1,KGRW,16,1,43,14548,0.0027,0.47391,0.996357,0.989527
HGB_IMDB,1,KGRW,16,1,44,14458,0.0033,0.472978,0.996889,0.991554
HGB_IMDB,1,KGRW,16,1,45,14440,0.0027,0.47429,0.996455,0.991554
HGB_IMDB,1,KGRW,16,1,46,14396,0.0027,0.472142,0.996099,0.992568
HGB_IMDB,1,KGRW,16,4,42,16174,0.0036,0.47284,0.999959,1.0
HGB_IMDB,1,KGRW,16,4,43,16206,0.0037,0.472962,0.999983,1.0
HGB_IMDB,1,KGRW,16,4,44,16174,0.004,0.473354,0.999914,0.999324
HGB_IMDB,1,KGRW,16,4,45,16206,0.0035,0.472962,0.999964,0.999662
HGB_IMDB,1,KGRW,16,4,46,16206,0.0044,0.473038,0.99995,1.0
HGB_IMDB,1,KGRW,16,16,42,16206,0.0062,0.472886,0.999976,1.0
HGB_IMDB,1,KGRW,16,16,43,16206,0.0065,0.472962,0.999983,1.0
HGB_IMDB,1,KGRW,16,16,44,16206,0.0067,0.473203,0.999957,0.999324
HGB_IMDB,1,KGRW,16,16,45,16206,0.0068,0.472962,0.999964,0.999662
HGB_IMDB,1,KGRW,16,16,46,16206,0.0061,0.473038,0.99995,1.0
HGB_IMDB,3,MPRW,,1,42,4540,0.0003,0.543879,0.907687,0.900338
HGB_IMDB,3,MPRW,,1,43,4470,0.0004,0.550245,0.907119,0.89527
HGB_IMDB,3,MPRW,,1,44,4526,0.0003,0.549015,0.90714,0.891554
HGB_IMDB,3,MPRW,,1,45,4486,0.0003,0.550064,0.909831,0.896284
HGB_IMDB,3,MPRW,,1,46,4458,0.0003,0.546618,0.905679,0.893919
HGB_IMDB,3,MPRW,,4,42,10680,0.0008,0.549248,0.989149,0.966554
HGB_IMDB,3,MPRW,,4,43,10562,0.0008,0.547268,0.988793,0.968919
HGB_IMDB,3,MPRW,,4,44,10592,0.0008,0.548276,0.988992,0.968243
HGB_IMDB,3,MPRW,,4,45,10662,0.0009,0.546068,0.989548,0.972973
HGB_IMDB,3,MPRW,,4,46,10664,0.0009,0.546795,0.98974,0.971622
HGB_IMDB,3,MPRW,,16,42,15532,0.0023,0.545361,0.99973,0.997297
HGB_IMDB,3,MPRW,,16,43,15446,0.0023,0.545877,0.999688,0.997635
HGB_IMDB,3,MPRW,,16,44,15572,0.0022,0.547115,0.999708,0.997297
HGB_IMDB,3,MPRW,,16,45,15496,0.0023,0.545156,0.999672,0.996284
HGB_IMDB,3,MPRW,,16,46,15510,0.0022,0.54528,0.999679,0.995946
HGB_IMDB,3,KGRW,4,1,42,9482,0.0023,0.54309,0.956286,0.956419
HGB_IMDB,3,KGRW,4,1,43,9674,0.0025,0.547955,0.955334,0.960135
HGB_IMDB,3,KGRW,4,1,44,9588,0.0023,0.54411,0.96244,0.959797
HGB_IMDB,3,KGRW,4,1,45,9508,0.0024,0.547897,0.958735,0.960473
HGB_IMDB,3,KGRW,4,1,46,9588,0.0023,0.543322,0.959626,0.956419
HGB_IMDB,3,KGRW,4,4,42,12068,0.0031,0.544501,0.99364,0.979054
HGB_IMDB,3,KGRW,4,4,43,12036,0.0029,0.545883,0.993664,0.981757
HGB_IMDB,3,KGRW,4,4,44,12084,0.0029,0.547794,0.993976,0.980743
HGB_IMDB,3,KGRW,4,4,45,12092,0.0029,0.544383,0.993897,0.981419
HGB_IMDB,3,KGRW,4,4,46,12116,0.0031,0.545704,0.993345,0.981419
HGB_IMDB,3,KGRW,4,16,42,12148,0.0047,0.544593,0.99453,0.980405
HGB_IMDB,3,KGRW,4,16,43,12148,0.0062,0.545425,0.995174,0.982432
HGB_IMDB,3,KGRW,4,16,44,12148,0.0054,0.548092,0.99483,0.981081
HGB_IMDB,3,KGRW,4,16,45,12148,0.0053,0.544548,0.99467,0.98277
HGB_IMDB,3,KGRW,4,16,46,12148,0.0113,0.545827,0.993727,0.981757
HGB_IMDB,3,KGRW,8,1,42,12702,0.0026,0.544965,0.983807,0.978041
HGB_IMDB,3,KGRW,8,1,43,12926,0.0027,0.547886,0.987826,0.983446
HGB_IMDB,3,KGRW,8,1,44,12850,0.0025,0.544934,0.987247,0.981757
HGB_IMDB,3,KGRW,8,1,45,12716,0.0025,0.545939,0.984789,0.979392
HGB_IMDB,3,KGRW,8,1,46,12822,0.0025,0.542992,0.985783,0.976351
HGB_IMDB,3,KGRW,8,4,42,14948,0.0033,0.546073,0.999525,0.995946
HGB_IMDB,3,KGRW,8,4,43,14964,0.0033,0.545543,0.999114,0.994257
HGB_IMDB,3,KGRW,8,4,44,14964,0.0032,0.545579,0.999403,0.997635
HGB_IMDB,3,KGRW,8,4,45,14948,0.0034,0.5463,0.998958,0.99527
HGB_IMDB,3,KGRW,8,4,46,14948,0.0035,0.545765,0.998953,0.994932
HGB_IMDB,3,KGRW,8,16,42,14996,0.006,0.546041,0.999526,0.996622
HGB_IMDB,3,KGRW,8,16,43,14996,0.0057,0.545395,0.999547,0.994595
HGB_IMDB,3,KGRW,8,16,44,14996,0.0058,0.545775,0.999618,0.997635
HGB_IMDB,3,KGRW,8,16,45,14996,0.0059,0.546564,0.999113,0.996284
HGB_IMDB,3,KGRW,8,16,46,14996,0.0061,0.5461,0.999381,0.99527
HGB_IMDB,3,KGRW,16,1,42,14314,0.0027,0.544939,0.993149,0.984797
HGB_IMDB,3,KGRW,16,1,43,14548,0.0026,0.548312,0.995574,0.989865
HGB_IMDB,3,KGRW,16,1,44,14458,0.0025,0.544652,0.995589,0.985473
HGB_IMDB,3,KGRW,16,1,45,14440,0.0025,0.544063,0.995565,0.986486
HGB_IMDB,3,KGRW,16,1,46,14396,0.0028,0.542218,0.994778,0.983446
HGB_IMDB,3,KGRW,16,4,42,16174,0.0033,0.545656,0.999958,0.999662
HGB_IMDB,3,KGRW,16,4,43,16206,0.0035,0.54559,0.999978,1.0
HGB_IMDB,3,KGRW,16,4,44,16174,0.0035,0.545629,0.999817,0.998986
HGB_IMDB,3,KGRW,16,4,45,16206,0.0036,0.54559,0.99996,0.999324
HGB_IMDB,3,KGRW,16,4,46,16206,0.0036,0.545674,0.999977,1.0
HGB_IMDB,3,KGRW,16,16,42,16206,0.0065,0.545656,0.999968,1.0
HGB_IMDB,3,KGRW,16,16,43,16206,0.0061,0.54559,0.999978,1.0
HGB_IMDB,3,KGRW,16,16,44,16206,0.0062,0.545629,0.999948,0.998986
HGB_IMDB,3,KGRW,16,16,45,16206,0.0064,0.54559,0.99996,0.999324
HGB_IMDB,3,KGRW,16,16,46,16206,0.0063,0.545674,0.999977,1.0
HGB_IMDB,4,MPRW,,1,42,4540,0.0003,0.561326,0.891454,0.881419
HGB_IMDB,4,MPRW,,1,43,4470,0.0003,0.560592,0.894164,0.882095
HGB_IMDB,4,MPRW,,1,44,4526,0.0003,0.560381,0.895128,0.872635
HGB_IMDB,4,MPRW,,1,45,4486,0.0004,0.563011,0.893998,0.878041
HGB_IMDB,4,MPRW,,1,46,4458,0.0003,0.563041,0.889979,0.871959
HGB_IMDB,4,MPRW,,4,42,10680,0.0008,0.567595,0.989014,0.967568
HGB_IMDB,4,MPRW,,4,43,10562,0.0016,0.567901,0.988532,0.966554
HGB_IMDB,4,MPRW,,4,44,10592,0.0009,0.564237,0.989069,0.964189
HGB_IMDB,4,MPRW,,4,45,10662,0.0008,0.567423,0.989854,0.969257
HGB_IMDB,4,MPRW,,4,46,10664,0.0008,0.565235,0.989868,0.966892
HGB_IMDB,4,MPRW,,16,42,15532,0.0023,0.56551,0.999738,0.996284
HGB_IMDB,4,MPRW,,16,43,15446,0.0022,0.565531,0.99971,0.995946
HGB_IMDB,4,MPRW,,16,44,15572,0.0023,0.56548,0.999724,0.996622
HGB_IMDB,4,MPRW,,16,45,15496,0.0023,0.566014,0.999716,0.997297
HGB_IMDB,4,MPRW,,16,46,15510,0.0022,0.565823,0.999713,0.996284
HGB_IMDB,4,KGRW,4,1,42,9482,0.0023,0.562803,0.950745,0.943581
HGB_IMDB,4,KGRW,4,1,43,9674,0.0028,0.567042,0.948437,0.948649
HGB_IMDB,4,KGRW,4,1,44,9588,0.0024,0.562692,0.957903,0.943243
HGB_IMDB,4,KGRW,4,1,45,9508,0.0023,0.566205,0.951404,0.944932
HGB_IMDB,4,KGRW,4,1,46,9588,0.0028,0.55946,0.95188,0.941216
HGB_IMDB,4,KGRW,4,4,42,12068,0.0033,0.565467,0.993722,0.981419
HGB_IMDB,4,KGRW,4,4,43,12036,0.006,0.567501,0.992554,0.980405
HGB_IMDB,4,KGRW,4,4,44,12084,0.0029,0.567043,0.994414,0.979054
HGB_IMDB,4,KGRW,4,4,45,12092,0.003,0.565527,0.993443,0.980068
HGB_IMDB,4,KGRW,4,4,46,12116,0.0044,0.563345,0.992711,0.977703
HGB_IMDB,4,KGRW,4,16,42,12148,0.0075,0.565502,0.994415,0.982432
HGB_IMDB,4,KGRW,4,16,43,12148,0.0048,0.567251,0.995066,0.981757
HGB_IMDB,4,KGRW,4,16,44,12148,0.0058,0.567346,0.995431,0.978716
HGB_IMDB,4,KGRW,4,16,45,12148,0.0056,0.566439,0.994162,0.97973
HGB_IMDB,4,KGRW,4,16,46,12148,0.0048,0.562887,0.99312,0.978041
HGB_IMDB,4,KGRW,8,1,42,12702,0.0025,0.563104,0.982367,0.971284
